(/1/){1}(/4/){1},0.367542
(/1/){1}(/4/){2},0.126651
(/1/){1}(/4/){3},0.018038
(/1/){1}(/6/){1},0.009849
(/1/){1}(/6/){2},0.000617
(/1/){1}(/9/){1},0.004723
(/1/){1}(/12/){1},0.200358
(/1/){1}(/12/){2},0.025822
(/1/){1}(/12/){3},0.022719
(/1/){1}(/12/){4},0.015367
(/1/){1}(/12/){5},0.00426
(/1/){1}(/14/){1},0.005089
(/4/){1}(/1/){1},0.00491
(/4/){1}(/2/){1},0.007442
(/4/){1}(/6/){1},0.052456
(/4/){2}(/6/){1},0.052456
(/4/){3}(/6/){1},0.052456
(/4/){4}(/6/){1},0.052456
(/4/){5}(/6/){1},0.003708
(/4/){1}(/9/){1},0.004349
(/5/){1}(/4/){1},0.033197
(/5/){1}(/11/){1},0.001808
(/6/){1}(/12/){1},0.004414
(/9/){1}(/1/){1},0.238187
(/9/){1}(/1/){2},0.001779
(/9/){2}(/1/){1},0.238187
(/9/){2}(/1/){2},0.001779
(/9/){3}(/1/){1},0.238488
(/9/){3}(/1/){2},0.001185
(/9/){4}(/1/){1},0.239519
(/9/){5}(/1/){1},0.239519
(/9/){6}(/1/){1},0.239519
(/9/){7}(/1/){1},0.23397
(/9/){1}(/4/){1},0.448809
(/9/){1}(/4/){2},0.445832
(/9/){1}(/4/){3},0.446379
(/9/){1}(/4/){4},0.444729
(/9/){1}(/4/){5},0.420706
(/9/){1}(/4/){6},0.31741
(/9/){1}(/4/){7},0.270471
(/9/){2}(/4/){1},0.248718
(/9/){2}(/4/){2},0.237518
(/9/){2}(/4/){3},0.231162
(/9/){2}(/4/){4},0.233439
(/9/){2}(/4/){5},0.193557
(/9/){2}(/4/){6},0.032305
(/9/){3}(/4/){1},0.235066
(/9/){3}(/4/){2},0.223372
(/9/){3}(/4/){3},0.223587
(/9/){3}(/4/){4},0.223587
(/9/){3}(/4/){5},0.186369
(/9/){4}(/4/){1},0.0262
(/9/){4}(/4/){2},0.019332
(/9/){4}(/4/){3},0.018148
(/9/){4}(/4/){4},0.018148
(/9/){5}(/4/){1},0.007867
(/9/){5}(/4/){2},0.001748
(/9/){6}(/4/){1},0.007442
(/9/){1}(/5/){1},0.009808
(/9/){1}(/11/){1},0.001208
(/9/){1}(/12/){1},0.022321
(/9/){1}(/14/){1},0.022328
(/9/){2}(/14/){1},0.021538
(/9/){3}(/14/){1},0.014677
(/9/){4}(/14/){1},0.014058
(/9/){5}(/14/){1},0.014058
(/10/){1}(/1/){1},0.00249
(/11/){1}(/1/){1},0.02649
(/11/){1}(/10/){1},0.001243
(/12/){1}(/1/){1},0.624862
(/12/){1}(/1/){2},0.487568
(/12/){1}(/1/){3},0.340064
(/12/){1}(/1/){4},0.330673
(/12/){1}(/1/){5},0.304069
(/12/){2}(/1/){1},0.258973
(/12/){2}(/1/){2},0.219594
(/12/){2}(/1/){3},0.020903
(/12/){2}(/1/){4},0.021132
(/12/){2}(/1/){5},0.01697
(/12/){3}(/1/){1},0.222352
(/12/){3}(/1/){2},0.220579
(/12/){3}(/1/){3},0.003116
(/12/){3}(/1/){4},0.002993
(/12/){4}(/1/){1},0.224152
(/12/){4}(/1/){2},0.222368
(/12/){4}(/1/){3},0.000599
(/12/){5}(/1/){1},0.224793
(/12/){5}(/1/){2},0.223007
(/12/){6}(/1/){1},0.210657
(/12/){6}(/1/){2},0.208667
(/12/){7}(/1/){1},0.003114
